"SubscriptionId","SubscriptionName","ResourceGroupName","ResourceType","Name","MissingTag"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-ESB-02","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Data Classification"
